user_id,app_id,total_offers_initiated,total_offers_received,total_offers_completed,reward_earned_by_user,revenue_generated
033c38d4-fd46-45a2-b09a-18d637c54129,sikka,6,1,1,48,96
0bdf2e4e-c610-4196-b8be-f08e24e97058,sikka,16,1,1,192,640
0bdf2e4e-c610-4196-b8be-f08e24e97058,sikka,12,1,1,48,144
2c93173e-b325-47d9-bac5-6e21641f97bc,sikka,20,1,1,80,0
3db62aad-421b-474e-9b1e-8a88ff370d4f,sikka,20,1,1,80,0
3db62aad-421b-474e-9b1e-8a88ff370d4f,sikka,12,1,1,48,144
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,20,1,1,80,0
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,8,1,1,64,0
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,16,1,1,80,263.36
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,4,1,1,16,48
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,9,1,1,216,396
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,12,1,1,48,144
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,7,1,1,70,210
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,20,1,1,80,0
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,8,1,1,64,0
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,30,1,1,720,1320
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,13,1,1,130,457.08
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,7,1,1,70,210
55e70808-0ed9-44fd-9d87-819ba9dc4d3e,sikka,20,1,1,80,0
55e70808-0ed9-44fd-9d87-819ba9dc4d3e,sikka,16,1,1,192,640
55e70808-0ed9-44fd-9d87-819ba9dc4d3e,sikka,2,1,1,10,28
738049d5-018a-41e7-b2a1-8604fe07cad2,sikka,24,1,1,4320,9600
ae5096d9-fa15-443d-9f30-c9a46abf4359,sikka,7,1,1,28,112
aff26172-41d6-4e69-9b02-48011fe35804,sikka,6,1,1,48,96
c925ccad-98e7-4500-833e-a49aa066aeec,sikka,20,1,1,80,0
dd3eeb44-eb7a-4453-a6ca-c69a32e41bf2,sikka,1,1,1,0.64,2.12
f55000a3-dd68-44d8-b461-41c85d963ce2,sikka,6,1,1,4.08,12
