user_id,app_id,total_offers_initiated,total_offers_received,total_offers_completed,reward_earned_by_user,revenue_generated
0e205d6d-d50b-4dba-a0cd-0355b4f2cc49,sikka_pro,2,1,1,24,224
0e205d6d-d50b-4dba-a0cd-0355b4f2cc49,sikka_pro,12,1,1,48,144
15129061-e4cc-4676-82b8-f9f78bb40fb0,sikka_pro,7,1,1,28,84.56
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,5,1,1,15,50.2
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,16,1,1,80,263.36
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,7,1,1,42,140
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,5,1,1,30,100
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,16,1,1,192,640
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,5,1,1,250,70
39b085c1-1e08-4d4e-ae85-04c40647c989,sikka_pro,12,1,1,48,144
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,3,1,1,30,90
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,16,1,1,192,640
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,2,1,1,1.28,4.24
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,12,1,1,120,600
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,5,1,1,250,70
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,12,1,1,48,144
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,2,1,1,1.28,4.24
417bcb37-44cf-43c3-ba51-5d39c825caf7,sikka_pro,2,1,1,1.28,4.24
4960fecc-a53a-4d08-99e6-5ef807d9f270,sikka_pro,8,1,1,64,0
4960fecc-a53a-4d08-99e6-5ef807d9f270,sikka_pro,7,1,1,28,112
4960fecc-a53a-4d08-99e6-5ef807d9f270,sikka_pro,12,1,1,48,144
4960fecc-a53a-4d08-99e6-5ef807d9f270,sikka_pro,7,1,1,70,210
5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,sikka_pro,2,1,1,1.28,4.24
5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,sikka_pro,12,1,1,48,144
5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,sikka_pro,27,1,1,108,378
5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,sikka_pro,7,1,1,70,210
67d4464d-62b8-4d5e-85f2-4144a732b154,sikka_pro,30,1,1,720,1320
6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,sikka_pro,8,1,1,64,0
6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,sikka_pro,5,1,1,250,70
6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,sikka_pro,2,1,1,1.28,4.24
792b3da8-618b-4bbe-996c-63f45820327a,sikka_pro,6,1,1,4.08,12
805763d6-87b3-40c7-bb84-dd663669c836,sikka_pro,20,1,1,80,0
805763d6-87b3-40c7-bb84-dd663669c836,sikka_pro,1,1,1,1,6
805763d6-87b3-40c7-bb84-dd663669c836,sikka_pro,1,1,1,16,80
94c1a32a-de5c-4911-b7ad-f245a57b6d10,sikka_pro,12,1,1,48,144
94c1a32a-de5c-4911-b7ad-f245a57b6d10,sikka_pro,4,1,1,23.52,78.4
94c1a32a-de5c-4911-b7ad-f245a57b6d10,sikka_pro,1,1,1,0.64,2.12
94c1a32a-de5c-4911-b7ad-f245a57b6d10,sikka_pro,2,1,1,1.28,4.24
94c1a32a-de5c-4911-b7ad-f245a57b6d10,sikka_pro,2,1,1,1.28,4.24
d0213a98-fcb0-4b1d-b795-ed89ddc61f9a,sikka_pro,2,1,1,10,28
e066a509-b551-43bf-87a3-7416ecb7ce73,sikka_pro,30,1,1,720,1320
e9812a7b-a60f-4b07-b888-82b0bd45bb80,sikka_pro,6,1,1,4.08,12
f5a888fe-f92d-44ed-899f-ef0a8ee7e0f2,sikka_pro,18,1,1,144,468
